,Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
615,15730.04627,21391.0,Pontiac,Vibe,GT Sportwagon,Wagon,4,1.8,4,0,1,1
107,35338.65369,,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
17,18543.42705,26034.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
440,17089.91883,8732.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,0,1,1
365,18912.9816,21512.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
353,39092.18992,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
45,18348.89857,23852.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
159,52001.99438,42691.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
510,21903.32262,4537.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,1,0
346,39691.7274,25169.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
11,20538.08751,15066.0,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
88,43374.05242,25199.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
501,23102.02237,5653.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,0,0
483,22525.26972,19521.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,1,1
147,41053.48217,25717.0,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
670,38324.80908,12090.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,1
335,13994.90646,17270.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
579,15756.14613,29325.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,0
571,19567.25929,2189.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,1
277,11671.85813,25727.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,1,1,1
121,35651.68002,10555.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,1,1
49,17645.74504,27830.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
31,23547.23944,16235.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
498,18063.00491,27574.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,0
233,12327.64161,19347.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
333,14194.8236,9561.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
606,15297.83597,23062.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,0,0
274,11574.17381,21525.0,Chevrolet,Cavalier,Sedan 4D,Sedan,4,2.2,4,0,1,1
658,29142.71439,31655.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
364,18527.20897,19874.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
116,36332.89469,,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
486,22189.11597,25651.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
285,13436.00015,20530.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,0,1,1
95,30792.14903,17870.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
665,25790.51414,21160.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
304,13699.03578,25845.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
417,17115.12203,24461.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
262,14255.74768,16958.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
247,13230.91867,,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
62,23420.70695,18910.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1
360,21757.04951,,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,0,0
441,17463.04608,11393.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
684,30122.42974,14568.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,1
135,36210.123,21778.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
404,16472.89765,21675.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
426,16536.74388,24218.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
301,15747.80397,6048.0,Chevrolet,Cobalt,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
570,19822.11539,1592.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,1,0
352,38990.60733,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
609,14546.88481,33374.0,Pontiac,Vibe,AWD Sportwagon 4D,Wagon,4,1.8,4,0,1,1
447,15623.91976,21272.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
90,33417.96501,6598.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
428,16713.98469,26328.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
563,21281.88049,17417.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,1,1
29,19556.89932,25245.0,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
218,8870.947316,32914.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,1,1,0
214,9665.84886,19565.0,Chevrolet,AVEO,SVM Sedan 4D,Sedan,4,1.6,4,0,1,1
255,12507.48527,19715.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
293,13106.90042,21910.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
343,42773.02839,14546.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
248,11080.51638,,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
438,16860.09433,22841.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
482,23578.16486,19148.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
522,20677.59382,11204.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,1,0
160,12146.18803,10011.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
439,16027.28649,22889.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
299,12487.05429,28492.0,Chevrolet,Cobalt,Coupe 2D,Coupe,4,2.2,2,0,1,1
575,16256.23617,22637.0,Pontiac,Grand Prix,Sedan 4D,Sedan,6,3.8,4,1,0,0
103,38600.23956,17138.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
455,17515.39759,18602.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,0,0
146,41516.42986,,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
347,38824.86909,25960.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,0,1
286,13161.94283,21145.0,Chevrolet,Classic,Sedan 4D,Sedan,4,2.2,4,1,1,1
165,10386.04022,22225.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,0
491,18678.41412,16496.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
80,51154.04722,2202.0,Cadillac,CST-V,Sedan 4D,Sedan,8,5.7,4,1,1,1
421,17119.45757,18277.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,1,1,1
598,11903.09775,25285.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
427,16341.8041,25394.0,Chevrolet,Malibu,LT Sedan 4D,Sedan,6,3.5,4,0,1,1
195,11169.91839,22380.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
3,16336.91314,16342.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
402,17458.22153,15144.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
9,15295.01827,27325.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
432,19581.23141,7645.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
399,14914.20128,33906.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
350,39875.85426,7054.0,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,0,1
545,14841.91705,12420.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
179,9954.054174,37345.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,0,1,1
394,16723.99388,19740.0,Chevrolet,Malibu,LS MAXX Hback 4D,Hatchback,6,3.5,4,1,1,1
257,13594.08559,20682.0,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
368,17294.181,29368.0,Chevrolet,Impala,LS Sedan 4D,Sedan,6,3.8,4,1,1,0
358,34739.21496,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,0,1
318,13545.0309,27431.0,Chevrolet,Cobalt,LS Sedan 4D,Sedan,4,2.2,4,0,1,1
437,16267.09489,21452.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
546,15077.17584,13262.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,0,1,1
241,14198.09246,11322.0,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
197,10872.01393,25869.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,0,0
40,20698.07708,2992.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
556,16997.69374,25830.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,0,1
544,15604.14582,5788.0,Pontiac,Grand Am,SE Sedan 4D,Sedan,4,2.2,4,1,1,1
377,16508.59069,27460.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
5,15709.05282,,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
445,16752.5144,18562.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
245,12573.89994,,Chevrolet,Cavalier,LS Sedan 4D,Sedan,4,2.2,4,1,1,1
374,17154.57646,21567.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,0,1
481,23449.30633,17273.0,Pontiac,Bonneville,GXP Sedan 4D,Sedan,8,4.6,4,1,0,1
38,20986.01602,27096.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
673,36338.75133,18195.0,SAAB,9_3 HO,Arc Conv 2D,Convertible,4,2.0,2,1,1,0
594,12832.46239,20618.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,1,1,1
685,26789.83261,22189.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,0,0
567,19423.16502,25557.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,1
681,32053.09716,5144.0,SAAB,9_3 HO,Arc Sedan 4D,Sedan,4,2.0,4,1,1,0
162,11472.02276,19699.0,Chevrolet,AVEO,LS Hatchback 4D,Hatchback,4,1.6,4,0,0,1
67,23077.56591,23798.0,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1
124,32501.24519,17508.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
39,20902.10379,29649.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
4,16339.17032,,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
33,22230.0275,22102.0,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
433,18169.37548,14754.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
99,28040.12853,27484.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,1,1
506,20109.90412,22891.0,Pontiac,Bonneville,SLE Sedan 4D,Sedan,6,3.8,4,1,1,1
236,12425.38917,22771.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
660,26841.08084,10003.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
355,35261.43643,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
406,16300.46524,25697.0,Chevrolet,Malibu,LS Sedan 4D,Sedan,6,3.5,4,1,1,1
494,19751.04143,20510.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,0,1
386,22064.29219,27384.0,Chevrolet,Impala,SS Sedan 4D,Sedan,6,3.8,4,1,1,1
412,18273.00613,16335.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
186,11394.8864,25107.0,Chevrolet,AVEO,LT Hatchback 4D,Hatchback,4,1.6,4,0,1,1
630,35622.1395,10340.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
628,14909.05099,23323.0,Pontiac,Vibe,Sportwagon 4D,Wagon,4,1.8,4,0,1,1
260,14222.3054,8427.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,0,1,1
378,15832.51835,31202.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
457,16345.94375,25931.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,1,0
200,10813.34352,266.0,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,0,1
663,27060.13756,17319.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,0,1
78,23159.54378,25869.0,Buick,Park Avenue,Special Ed Ultra 4D,Sedan,6,3.8,4,1,0,0
558,15457.17059,29925.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
42,18145.12649,18339.0,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
133,38297.46254,16754.0,Cadillac,STS-V6,Sedan 4D,Sedan,6,3.6,4,1,0,1
339,12678.85397,28683.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
565,20173.90633,21211.0,Pontiac,Grand Prix,GTP Sedan 4D,Sedan,6,3.8,4,1,0,1
250,15053.93373,,Chevrolet,Cavalier,LS Sport Coupe 2D,Coupe,4,2.2,2,1,1,1
467,20017.96843,22729.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,0,0
379,15554.28313,33357.0,Chevrolet,Impala,Sedan 4D,Sedan,6,3.8,4,1,1,1
652,33358.76777,17590.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,1,1
192,11302.90299,14627.0,Chevrolet,AVEO,LT Sedan 4D,Sedan,4,1.6,4,0,1,0
442,17218.68575,14579.0,Chevrolet,Malibu,Sedan 4D,Sedan,6,3.5,4,1,1,1
354,39365.88324,,Chevrolet,Corvette,Coupe 2D,Coupe,8,6.0,2,1,1,1
334,14072.13523,15233.0,Chevrolet,Cobalt,Sedan 4D,Sedan,4,2.2,4,0,1,1
521,20452.66947,10338.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
654,30731.94165,22479.0,SAAB,9_3 HO,Aero Conv 2D,Convertible,4,2.0,2,1,0,0
435,17173.94232,18721.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
157,57154.44344,29260.0,Cadillac,XLR-V8,Hardtop Conv 2D,Convertible,8,4.6,2,1,1,1
584,29664.70269,21418.0,Pontiac,GTO,Coupe 2D,Coupe,8,5.7,2,1,0,1
452,19177.41206,10414.0,Chevrolet,Monte Carlo,LS Coupe 2D,Coupe,6,3.8,2,1,1,0
669,23733.40225,27600.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,0
523,19294.7875,19539.0,Pontiac,G6,Sedan 4D,Sedan,6,3.5,4,1,0,0
102,39307.00916,16041.0,Cadillac,Deville,DHS Sedan 4D,Sedan,8,4.6,4,1,0,1
52,21646.11692,19562.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
464,21233.91136,17337.0,Chevrolet,Monte Carlo,LT Coupe 2D,Coupe,6,3.8,2,1,1,1
341,47065.20991,5239.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
345,39547.5879,23826.0,Chevrolet,Corvette,Conv 2D,Convertible,8,6.0,2,1,1,1
97,28817.08185,21039.0,Cadillac,CTS,Sedan 4D,Sedan,6,2.8,4,1,0,1
667,24852.49528,22814.0,SAAB,9_3 HO,Aero Sedan 4D,Sedan,4,2.0,4,1,1,1
128,31181.71516,26222.0,Cadillac,Deville,Sedan 4D,Sedan,8,4.6,4,1,0,1
177,10144.95208,23963.0,Chevrolet,AVEO,LS Sedan 4D,Sedan,4,1.6,4,1,1,0
110,42820.32902,,Cadillac,Deville,DTS Sedan 4D,Sedan,8,4.6,4,1,0,1
519,18529.34212,30063.0,Pontiac,G6,GT Sedan 4D,Sedan,6,3.5,4,1,0,1
434,17986.22409,17488.0,Chevrolet,Malibu,MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
323,15163.16986,17158.0,Chevrolet,Cobalt,LT Sedan 4D,Sedan,4,2.2,4,1,1,1
496,18856.01869,22423.0,Pontiac,Bonneville,SE Sedan 4D,Sedan,6,3.8,4,1,1,0
142,45061.95194,,Cadillac,STS-V8,Sedan 4D,Sedan,8,4.6,4,1,1,1
559,14963.04562,31471.0,Pontiac,Grand Prix,GT Sedan 4D,Sedan,6,3.8,4,1,1,0
6,15230.00339,22576.0,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
267,14145.88099,20512.0,Chevrolet,Cavalier,LS Sport Sedan 4D,Sedan,4,2.2,4,1,1,1
538,15059.13408,22641.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,1,1,1
237,12319.69625,24568.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,1,1,1
415,18004.87041,18771.0,Chevrolet,Malibu,LT MAXX Hback 4D,Hatchback,6,3.5,4,0,1,1
58,19191.98962,29187.0,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
232,13446.21342,17741.0,Chevrolet,Cavalier,LS Coupe 2D,Coupe,4,2.2,2,0,1,1
635,31970.54208,21208.0,SAAB,9_3,Linear Conv 2D,Convertible,4,2.0,2,1,1,0
596,12465.50852,23931.0,Pontiac,Sunfire,Coupe 2D,Coupe,4,2.2,2,0,1,1
203,10106.01643,,Chevrolet,AVEO,SVM Hatchback 4D,Hatchback,4,1.6,4,1,0,0
530,17360.81064,881.0,Pontiac,Grand Am,GT Coupe 2D,Coupe,6,3.4,2,0,1,1
