,TIME,NUM1,NUM2,NUM3,NUM4,NUM5,NUM6,BONUS_NUM
505,506,6,9,11,22,24,30,31
506,507,12,13,32,33,40,41,4
507,508,5,27,31,34,35,43,37
508,509,12,25,29,35,42,43,24
509,510,12,29,32,33,39,40,42
510,511,3,7,14,23,26,42,24
511,512,4,5,9,13,26,27,1
512,513,5,8,21,23,27,33,12
513,514,1,15,20,26,35,42,9
514,515,2,11,12,15,23,37,8
515,516,2,8,23,41,43,44,30
516,517,1,9,12,28,36,41,10
517,518,14,23,30,32,34,38,6
518,519,6,8,13,16,30,43,3
519,520,4,22,27,28,38,40,1
520,521,3,7,18,29,32,36,19
521,522,4,5,13,14,37,41,11
522,523,1,4,37,38,40,45,7
523,524,10,11,29,38,41,45,21
524,525,11,23,26,29,39,44,22
525,526,7,14,17,20,35,39,31
526,527,1,12,22,32,33,42,38
527,528,5,17,25,31,39,40,10
528,529,18,20,24,27,31,42,39
529,530,16,23,27,29,33,41,22
530,531,1,5,9,21,27,35,45
531,532,16,17,23,24,29,44,3
532,533,9,14,15,17,31,33,23
533,534,10,24,26,29,37,38,32
534,535,11,12,14,15,18,39,34
535,536,7,8,18,32,37,43,12
536,537,12,23,26,30,36,43,11
537,538,6,10,18,31,32,34,11
538,539,3,19,22,31,42,43,26
539,540,3,12,13,15,34,36,14
540,541,8,13,26,28,32,34,43
541,542,5,6,19,26,41,45,34
542,543,13,18,26,31,34,44,12
543,544,5,17,21,25,36,44,10
544,545,4,24,25,27,34,35,2
545,546,8,17,20,27,37,43,6
546,547,6,7,15,22,34,39,28
547,548,1,12,13,21,32,45,14
548,549,29,31,35,38,40,44,17
549,550,1,7,14,20,34,37,41
550,551,3,6,20,24,27,44,25
551,552,1,10,20,32,35,40,43
552,553,2,7,17,28,29,39,37
553,554,13,14,17,32,41,42,6
554,555,11,17,21,24,26,36,12
555,556,12,20,23,28,30,44,43
556,557,4,20,26,28,35,40,31
557,558,12,15,19,26,40,43,29
558,559,11,12,25,32,44,45,23
559,560,1,4,20,23,29,45,28
560,561,5,7,18,37,42,45,20
561,562,4,11,13,17,20,31,33
562,563,5,10,16,17,31,32,21
563,564,14,19,25,26,27,34,2
564,565,4,10,18,27,40,45,38
565,566,4,5,6,25,26,43,41
566,567,1,10,15,16,32,41,28
567,568,1,3,17,20,31,44,40
568,569,3,6,13,23,24,35,1
569,570,1,12,26,27,29,33,42
570,571,11,18,21,26,38,43,29
571,572,3,13,18,33,37,45,1
572,573,2,4,20,34,35,43,14
573,574,14,15,16,19,25,43,2
574,575,2,8,20,30,33,34,6
575,576,10,11,15,25,35,41,13
576,577,16,17,22,31,34,37,33
577,578,5,12,14,32,34,42,16
578,579,5,7,20,22,37,42,39
579,580,5,7,9,11,32,35,33
580,581,3,5,14,20,42,44,33
581,582,2,12,14,33,40,41,25
582,583,8,17,27,33,40,44,24
583,584,7,18,30,39,40,41,36
584,585,6,7,10,16,38,41,4
585,586,2,7,12,15,21,34,5
586,587,14,21,29,31,32,37,17
587,588,2,8,15,22,25,41,30
588,589,6,8,28,33,38,39,22
589,590,20,30,36,38,41,45,23
590,591,8,13,14,30,38,39,5
591,592,2,5,6,13,28,44,43
592,593,9,10,13,24,33,38,28
593,594,2,8,13,25,28,37,3
594,595,8,24,28,35,38,40,5
595,596,3,4,12,14,25,43,17
596,597,8,10,23,24,35,43,37
597,598,4,12,24,33,38,45,22
598,599,5,12,17,29,34,35,27
599,600,5,11,14,27,29,36,44
600,601,2,16,19,31,34,35,37
601,602,13,14,22,27,30,38,2
602,603,2,19,25,26,27,43,28
603,604,2,6,18,21,33,34,30
604,605,1,2,7,9,10,38,42
605,606,1,5,6,14,20,39,22
606,607,8,14,23,36,38,39,13
607,608,4,8,18,19,39,44,41
608,609,4,8,27,34,39,40,13
609,610,14,18,20,23,28,36,33
610,611,2,22,27,33,36,37,14
611,612,6,9,18,19,25,33,40
612,613,7,8,11,16,41,44,35
613,614,8,21,25,39,40,44,18
614,615,10,17,18,19,23,27,35
615,616,5,13,18,23,40,45,3
616,617,4,5,11,12,24,27,28
617,618,8,16,25,30,42,43,15
618,619,6,8,13,30,35,40,21
619,620,2,16,17,32,39,45,40
620,621,1,2,6,16,19,42,9
621,622,9,15,16,21,28,34,24
622,623,7,13,30,39,41,45,25
623,624,1,7,19,26,27,35,16
624,625,3,6,7,20,21,39,13
625,626,13,14,26,33,40,43,15
626,627,2,9,22,25,31,45,12
627,628,1,7,12,15,23,42,11
628,629,19,28,31,38,43,44,1
629,630,8,17,21,24,27,31,15
630,631,1,2,4,23,31,34,8
631,632,15,18,21,32,35,44,6
632,633,9,12,19,20,39,41,13
633,634,4,10,11,12,20,27,38
634,635,11,13,25,26,29,33,32
635,636,6,7,15,16,20,31,26
636,637,3,16,22,37,38,44,23
637,638,7,18,22,24,31,34,6
638,639,6,15,22,23,25,32,40
639,640,14,15,18,21,26,35,23
640,641,11,18,21,36,37,43,12
641,642,8,17,18,24,39,45,32
642,643,15,24,31,32,33,40,13
643,644,5,13,17,23,28,36,8
644,645,1,4,16,26,40,41,31
645,646,2,9,24,41,43,45,30
646,647,5,16,21,23,24,30,29
647,648,13,19,28,37,38,43,4
648,649,3,21,22,33,41,42,20
649,650,3,4,7,11,31,41,35
650,651,11,12,16,26,29,44,18
651,652,3,13,15,40,41,44,20
652,653,5,6,26,27,38,39,1
653,654,16,21,26,31,36,43,6
654,655,7,37,38,39,40,44,18
655,656,3,7,14,16,31,40,39
656,657,10,14,19,39,40,43,23
657,658,8,19,25,28,32,36,37
658,659,7,18,19,27,29,42,45
659,660,4,9,23,33,39,44,14
660,661,2,3,12,20,27,38,40
661,662,5,6,9,11,15,37,26
662,663,3,5,8,19,38,42,20
663,664,10,20,33,36,41,44,5
664,665,5,6,11,17,38,44,13
665,666,2,4,6,11,17,28,16
666,667,15,17,25,37,42,43,13
667,668,12,14,15,24,27,32,3
668,669,7,8,20,29,33,38,9
669,670,11,18,26,27,40,41,25
670,671,7,9,10,13,31,35,24
671,672,8,21,28,31,36,45,43
672,673,7,10,17,29,33,44,5
673,674,9,10,14,25,27,31,11
674,675,1,8,11,15,18,45,7
675,676,1,8,17,34,39,45,27
676,677,12,15,24,36,41,44,42
677,678,4,5,6,12,25,37,45
678,679,3,5,7,14,26,34,35
679,680,4,10,19,29,32,42,30
680,681,21,24,27,29,43,44,7
681,682,17,23,27,35,38,43,2
682,683,6,13,20,27,28,40,15
683,684,1,11,15,17,25,39,40
684,685,6,7,12,28,38,40,18
685,686,7,12,15,24,25,43,13
686,687,1,8,10,13,28,42,45
687,688,5,15,22,23,34,35,2
688,689,7,17,19,30,36,38,34
689,690,24,25,33,34,38,39,43
690,691,15,27,33,35,43,45,16
691,692,3,11,14,15,32,36,44
692,693,1,6,11,28,34,42,30
693,694,7,15,20,25,33,43,12
694,695,4,18,26,33,34,38,14
695,696,1,7,16,18,34,38,21
696,697,2,5,8,11,33,39,31
697,698,3,11,13,21,33,37,18
698,699,4,5,8,16,21,29,3
699,700,11,23,28,29,30,44,13
700,701,3,10,14,16,36,38,35
701,702,3,13,16,24,26,29,9
702,703,10,28,31,33,41,44,21
703,704,1,4,8,23,33,42,45
704,705,1,6,17,22,28,45,23
705,706,3,4,6,10,28,30,37
706,707,2,12,19,24,39,44,35
707,708,2,10,16,19,34,45,1
708,709,10,18,30,36,39,44,32
709,710,3,4,9,24,25,33,10
710,711,11,15,24,35,37,45,42
711,712,17,20,30,31,33,45,19
712,713,2,5,15,18,19,23,44
713,714,1,7,22,33,37,40,20
714,715,2,7,27,33,41,44,10
715,716,2,6,13,16,29,30,21
716,717,2,11,19,25,28,32,44
717,718,4,11,20,23,32,39,40
718,719,4,8,13,19,20,43,26
719,720,1,12,29,34,36,37,41
720,721,1,28,35,41,43,44,31
721,722,12,14,21,30,39,43,45
722,723,20,30,33,35,36,44,22
723,724,2,8,33,35,37,41,14
724,725,6,7,19,21,41,43,38
725,726,1,11,21,23,34,44,24
726,727,7,8,10,19,21,31,20
727,728,3,6,10,30,34,37,36
728,729,11,17,21,26,36,45,16
729,730,4,10,14,15,18,22,39
730,731,2,7,13,25,42,45,39
731,732,2,4,5,17,27,32,43
732,733,11,24,32,33,35,40,13
733,734,6,16,37,38,41,45,18
734,735,5,10,13,27,37,41,4
735,736,2,11,17,18,21,27,6
736,737,13,15,18,24,27,41,11
737,738,23,27,28,38,42,43,36
738,739,7,22,29,33,34,35,30
739,740,4,8,9,16,17,19,31
740,741,5,21,27,34,44,45,16
741,742,8,10,13,36,37,40,6
742,743,15,19,21,34,41,44,10
743,744,10,15,18,21,34,41,43
744,745,1,2,3,9,12,23,10
745,746,3,12,33,36,42,45,25
746,747,7,9,12,14,23,28,17
747,748,3,10,13,22,31,32,29
748,749,12,14,24,26,34,45,41
749,750,1,2,15,19,24,36,12
750,751,3,4,16,20,28,44,17
751,752,4,16,20,33,40,43,7
752,753,2,17,19,24,37,41,3
753,754,2,8,17,24,29,31,32
754,755,13,14,26,28,30,36,37
755,756,10,14,16,18,27,28,4
756,757,6,7,11,17,33,44,1
757,758,5,9,12,30,39,43,24
758,759,9,33,36,40,42,43,32
759,760,10,22,27,31,42,43,12
760,761,4,7,11,24,42,45,30
761,762,1,3,12,21,26,41,16
762,763,3,8,16,32,34,43,10
763,764,7,22,24,31,34,36,15
764,765,1,3,8,12,42,43,33
765,766,9,30,34,35,39,41,21
766,767,5,15,20,31,34,42,22
767,768,7,27,29,30,38,44,4
768,769,5,7,11,16,41,45,4
769,770,1,9,12,23,39,43,34
770,771,6,10,17,18,21,29,30
771,772,5,6,11,14,21,41,32
772,773,8,12,19,21,31,35,44
773,774,12,15,18,28,34,42,9
774,775,11,12,29,33,38,42,17
775,776,8,9,18,21,28,40,20
776,777,6,12,17,21,34,37,18
777,778,6,21,35,36,37,41,11
778,779,6,12,19,24,34,41,4
779,780,15,17,19,21,27,45,16
780,781,11,16,18,19,24,39,43
781,782,6,18,31,34,38,45,20
782,783,14,15,16,17,38,45,36
783,784,3,10,23,24,31,39,22
784,785,4,6,15,25,26,33,40
785,786,12,15,16,20,24,30,38
786,787,5,6,13,16,27,28,9
787,788,2,10,11,19,35,39,29
788,789,2,6,7,12,19,45,38
789,790,3,8,19,27,30,41,12
790,791,2,10,12,31,33,42,32
791,792,2,7,19,25,29,36,16
792,793,10,15,21,35,38,43,31
793,794,6,7,18,19,30,38,13
794,795,3,10,13,26,34,38,36
795,796,1,21,26,36,40,41,5
796,797,5,22,31,32,39,45,36
797,798,2,10,14,22,32,36,41
798,799,12,17,23,34,42,45,33
799,800,1,4,10,12,28,45,26
800,801,17,25,28,37,43,44,2
801,802,10,11,12,18,24,42,27
802,803,5,9,14,26,30,43,2
803,804,1,10,13,26,32,36,9
804,805,3,12,13,18,31,32,42
805,806,14,20,23,31,37,38,27
806,807,6,10,18,25,34,35,33
807,808,15,21,31,32,41,43,24
808,809,6,11,15,17,23,40,39
809,810,5,10,13,21,39,43,11
810,811,8,11,19,21,36,45,25
811,812,1,3,12,14,16,43,10
812,813,11,30,34,35,42,44,27
813,814,2,21,28,38,42,45,30
814,815,17,21,25,26,27,36,4
815,816,12,18,19,29,31,39,7
816,817,3,9,12,13,25,43,34
817,818,14,15,25,28,29,30,3
818,819,16,25,33,38,40,45,15
819,820,10,21,22,30,35,42,6
820,821,1,12,13,24,29,44,16
821,822,9,18,20,24,27,36,12
822,823,12,18,24,26,39,40,15
823,824,7,9,24,29,34,38,26
824,825,8,15,21,31,33,38,42
825,826,13,16,24,25,33,36,42
826,827,5,11,12,29,33,44,14
827,828,4,7,13,29,31,39,18
828,829,4,5,31,35,43,45,29
829,830,5,6,16,18,37,38,17
830,831,3,10,16,19,31,39,9
831,832,13,14,19,26,40,43,30
832,833,12,18,30,39,41,42,19
833,834,6,8,18,35,42,43,3
834,835,9,10,13,28,38,45,35
835,836,1,9,11,14,26,28,19
836,837,2,25,28,30,33,45,6
837,838,9,14,17,33,36,38,20
838,839,3,9,11,12,13,19,35
839,840,2,4,11,28,29,43,27
840,841,5,11,14,30,33,38,24
841,842,14,26,32,36,39,42,38
842,843,19,21,30,33,34,42,4
843,844,7,8,13,15,33,45,18
844,845,1,16,29,33,40,45,6
845,846,5,18,30,41,43,45,13
846,847,12,16,26,28,30,42,22
847,848,1,2,16,22,38,39,34
848,849,5,13,17,29,34,39,3
849,850,16,20,24,28,36,39,5
850,851,14,18,22,26,31,44,40
851,852,11,17,28,30,33,35,9
852,853,2,8,23,26,27,44,13
853,854,20,25,31,32,36,43,3
854,855,8,15,17,19,43,44,7
855,856,10,24,40,41,43,44,17
856,857,6,10,16,28,34,38,43
857,858,9,13,32,38,39,43,23
858,859,8,22,35,38,39,41,24
859,860,4,8,18,25,27,32,42
860,861,11,17,19,21,22,25,24
861,862,10,34,38,40,42,43,32
862,863,16,21,28,35,39,43,12
863,864,3,7,10,13,25,36,32
864,865,3,15,22,32,33,45,2
865,866,9,15,29,34,37,39,12
866,867,14,17,19,22,24,40,41
867,868,12,17,28,41,43,44,25
868,869,2,6,20,27,37,39,4
869,870,21,25,30,32,40,42,31
870,871,2,6,12,26,30,34,38
871,872,2,4,30,32,33,43,29
872,873,3,5,12,13,33,39,38
873,874,1,15,19,23,28,42,32
874,875,19,22,30,34,39,44,36
875,876,5,16,21,26,34,42,24
876,877,5,17,18,22,23,43,12
877,878,2,6,11,16,25,31,3
878,879,1,4,10,14,15,35,20
879,880,7,17,19,23,24,45,38
880,881,4,18,20,26,27,32,9
881,882,18,34,39,43,44,45,23
882,883,9,18,32,33,37,44,22
883,884,4,14,23,28,37,45,17
884,885,1,3,24,27,39,45,31
885,886,19,23,28,37,42,45,2
886,887,8,14,17,27,36,45,10
887,888,3,7,12,31,34,38,32
888,889,3,13,29,38,39,42,26
889,890,1,4,14,18,29,37,6
890,891,9,13,28,31,39,41,19
891,892,4,9,17,18,26,42,36
892,893,1,15,17,23,25,41,10
893,894,19,32,37,40,41,43,45
894,895,16,26,31,38,39,41,23
895,896,5,12,25,26,38,45,23
896,897,6,7,12,22,26,36,29
897,898,18,21,28,35,37,42,17
898,899,8,19,20,21,33,39,37
899,900,7,13,16,18,35,38,14
900,901,5,18,20,23,30,34,21
901,902,7,19,23,24,36,39,30
902,903,2,15,16,21,22,28,45
903,904,2,6,8,26,43,45,11
904,905,3,4,16,27,38,40,20
905,906,2,5,14,28,31,32,20
906,907,21,27,29,38,40,44,37
907,908,3,16,21,22,23,44,30
908,909,7,24,29,30,34,35,33
909,910,1,11,17,27,35,39,31
910,911,4,5,12,14,32,42,35
911,912,5,8,18,21,22,38,10
912,913,6,14,16,21,27,37,40
913,914,16,19,24,33,42,44,27
914,915,2,6,11,13,22,37,14
915,916,6,21,22,32,35,36,17
916,917,1,3,23,24,27,43,34
917,918,7,11,12,31,33,38,5
918,919,9,14,17,18,42,44,35
919,920,2,3,26,33,34,43,29
920,921,5,7,12,22,28,41,1
921,922,2,6,13,17,27,43,36
922,923,3,17,18,23,36,41,26
923,924,3,11,34,42,43,44,13
924,925,13,24,32,34,39,42,4
925,926,10,16,18,20,25,31,6
926,927,4,15,22,38,41,43,26
927,928,3,4,10,20,28,44,30
928,929,7,9,12,15,19,23,4
929,930,8,21,25,38,39,44,28
930,931,14,15,23,25,35,43,32
931,932,1,6,15,36,37,38,5
932,933,23,27,29,31,36,45,37
933,934,1,3,30,33,36,39,12
934,935,4,10,20,32,38,44,18
935,936,7,11,13,17,18,29,43
936,937,2,10,13,22,29,40,26
937,938,4,8,10,16,31,36,9
938,939,4,11,28,39,42,45,6
939,940,3,15,20,22,24,41,11
940,941,12,14,25,27,39,40,35
941,942,10,12,18,35,42,43,39
942,943,1,8,13,36,44,45,39
943,944,2,13,16,19,32,33,42
944,945,9,10,15,30,33,37,26
945,946,9,18,19,30,34,40,20
946,947,3,8,17,20,27,35,26
947,948,13,18,30,31,38,41,5
948,949,14,21,35,36,40,44,30
949,950,3,4,15,22,28,40,10
950,951,2,12,30,31,39,43,38
951,952,4,12,22,24,33,41,38
952,953,7,9,22,27,37,42,34
953,954,1,9,26,28,30,41,32
954,955,4,9,23,26,29,33,8
955,956,10,11,20,21,25,41,40
956,957,4,15,24,35,36,40,1
957,958,2,9,10,16,35,37,1
958,959,1,14,15,24,40,41,35
959,960,2,18,24,30,32,45,14
960,961,11,20,29,31,33,42,43
961,962,1,18,28,31,34,43,40
962,963,6,12,19,23,34,42,35
963,964,6,21,36,38,39,43,30
964,965,2,13,25,28,29,36,34
965,966,1,21,25,29,34,37,36
966,967,1,6,13,37,38,40,9
967,968,2,5,12,14,24,39,33
968,969,3,9,10,29,40,45,7
969,970,9,11,16,21,28,36,5
970,971,2,6,17,18,21,26,7
971,972,3,6,17,23,37,39,26
972,973,22,26,31,37,41,42,24
973,974,1,2,11,16,39,44,32
974,975,7,8,9,17,22,24,5
975,976,4,12,14,25,35,37,2
976,977,2,9,10,14,22,44,16
977,978,1,7,15,32,34,42,8
978,979,7,11,16,21,27,33,24
979,980,3,13,16,23,24,35,14
980,981,27,36,37,41,43,45,32
981,982,5,7,13,20,21,44,33
982,983,13,23,26,31,35,43,15
983,984,3,10,23,35,36,37,18
984,985,17,21,23,30,34,44,19
985,986,7,10,16,28,41,42,40
986,987,2,4,15,23,29,38,7
987,988,2,13,20,30,31,41,27
988,989,17,18,21,27,29,33,26
989,990,2,4,25,26,36,37,28
990,991,13,18,25,31,33,44,38
991,992,12,20,26,33,44,45,24
992,993,6,14,16,18,24,42,44
993,994,1,3,8,24,27,35,28
994,995,1,4,13,29,38,39,7
995,996,6,11,15,24,32,39,28
996,997,4,7,14,16,24,44,20
997,998,13,17,18,20,42,45,41
998,999,1,3,9,14,18,28,34
999,1000,2,8,19,22,32,42,39
1000,1001,6,10,12,14,20,42,15
1001,1002,17,25,33,35,38,45,15
1002,1003,1,4,29,39,43,45,31
